,Response_No,Tab_No,Survey_Date,AC_Name,Mandal_Name,Village_Name
5735,8095,329,2015-07-06,Tiruvuru,Tiruvuru,G.Kothuru
5736,8095,315,2015-06-22,Nandigama,Nandigama,Lingalapadu
5737,8096,131,2015-06-24,Jaggaiahpeta,Vatsavai,Kambhampadu
5738,8098,426,2015-05-27,Nandigama,Veerullapadu,Goka Raju Palli
5739,8098,278,2015-06-07,Mylavaram,Reddygudem,Reddygudem
5740,8100,172,2015-07-17,,,
5741,8102,214,2015-02-06,,,
5742,8106,339,2015-05-21,Tiruvuru,Tiruvuru,Laxmipuram
5743,8106,164,2015-06-14,Jaggaiahpeta,Jaggaiahpeta,K.Agraharam
5744,8108,31,2015-10-06,,,
5745,8108,240,2015-06-25,Nandigama,Chanderlapadu,Kodavatikallu
5746,8108,397,2015-06-27,Tiruvuru,A.Konduru,Ramachandrapuram
5747,8111,356,2015-05-29,Mylavaram,Reddygudem,Kunaparajparva
5748,8111,153,2015-12-06,,,
5749,8111,388,2015-06-13,Tiruvuru,A.Konduru,Khampampadu
5750,8112,125,2015-07-16,Jaggaiahpeta,Vatsavai,Makkapeta
5751,8113,140,2015-11-06,,,
5752,8115,149,2015-06-15,Nandigama,Chanderlapadu,Thota Ravula Padu
5753,8118,6,2015-06-16,Tiruvuru,Vissannapeta,Narasapuram
5754,8119,363,2015-01-06,,,
5755,8121,46,2015-06-13,Tiruvuru,Gampalagudem,VINAGADAPA
5756,8124,401,2015-06-22,Tiruvuru,A.Konduru,A. Konduru
5757,8124,76,2015-02-07,,,
5758,8128,125,2015-06-07,,,
5759,8129,152,2015-06-13,Nandigama,Chanderlapadu,Eturu
5760,8130,406,2015-05-23,Tiruvuru,A.Konduru,Vallampatla
5761,8130,279,2015-01-06,,,
5762,8130,143,2015-06-18,Nandigama,Chanderlapadu,Eturu
5763,8130,229,2015-06-29,Nandigama,Chanderlapadu,Veladi Kothapalem
5764,8132,430,2015-04-06,,,
5765,8132,331,2015-12-06,,,
5766,8133,156,2015-06-16,Jaggaiahpeta,Jaggaiahpeta,S M Peta
5767,8133,358,2015-12-07,,,
5768,8134,404,2015-05-27,Tiruvuru,A.Konduru,Jeellakunta
5769,8137,56,2015-04-07,,,
5770,8138,466,2015-08-07,,,
5771,8139,324,2015-08-06,,,
5772,8139,360,2015-09-07,,,
5773,8140,73,2015-05-25,Mylavaram,Ibrahimpatnam,Mulapadu
5774,8144,165,2015-05-26,Nandigama,Chanderlapadu,Punnavalli
5775,8145,179,2015-05-30,,,
5776,8145,418,2015-12-07,,,
5777,8147,462,2015-06-14,Tiruvuru,Gampalagudem,GULLAPUDI
5778,8151,254,2015-06-15,Nandigama,Chanderlapadu,Pokkunuru
5779,8154,265,2015-06-26,,,
5780,8155,137,2015-06-13,Jaggaiahpeta,Vatsavai,Vemulanarva
5781,8156,334,2015-12-06,,,
5782,8156,232,2015-12-07,,,
5783,8157,368,2015-05-27,Mylavaram,Mylavaram,k.r.gudem
5784,8160,261,2015-10-06,,,
5785,8161,395,2015-05-23,Tiruvuru,A.Konduru,Jeellakunta
5786,8161,352,2015-07-24,,,
5787,8162,289,2015-02-06,,,
5788,8165,374,2015-07-06,Mylavaram,Mylavaram,mylavaram
5789,8166,91,2015-05-25,Mylavaram,Ibrahimpatnam,Kethanakonda
5790,8168,270,2015-05-25,Mylavaram,Reddygudem,Narukullapadu
5791,8170,229,2015-06-16,Nandigama,Chanderlapadu,Chinthalapadu
5792,8174,215,2015-10-06,,,
5793,8174,493,2015-11-06,,,
5794,8176,475,2015-04-06,,,
5795,8176,454,2015-06-22,Tiruvuru,Gampalagudem,GAMPALAGUDEM
5796,8177,293,2015-04-06,,,
5797,8179,291,2015-05-28,Nandigama,Nandigama,Chandapuram
5798,8181,373,2015-02-06,,,
5799,8181,260,2015-06-14,Jaggaiahpeta,Jaggaiahpeta,Gandrai
5800,8181,254,2015-06-21,Nandigama,Chanderlapadu,Pokkunuru
5801,8182,395,2015-06-13,Tiruvuru,A.Konduru,Koduru
5802,8185,204,2015-07-17,Nandigama,Kanchikacherla,Kanchikacherla
5803,8186,1,2015-07-20,Nandigama,Chanderlapadu,Chanderlapadu
5804,8187,266,2015-06-19,Mylavaram,Reddygudem,Reddygudem
5805,8189,317,2015-04-06,,,
5806,8192,313,2015-05-07,,,
5807,8194,14,2015-05-07,,,
5808,8199,336,2015-09-06,,,
5809,8200,423,2015-07-07,Tiruvuru,Vissannapeta,Vissannapeta
5810,8201,68,2015-04-06,,,
5811,8202,454,2015-05-28,Tiruvuru,Gampalagudem,ANUMULLANKA
5812,8204,202,2015-06-06,Nandigama,Kanchikacherla,Pendyala
5813,8205,203,2015-06-07,Nandigama,Kanchikacherla,Vemulapalli
5814,8206,245,2015-04-07,,,
5815,8209,312,2015-05-28,Nandigama,Nandigama,Kammavaripalem
5816,8209,177,2015-11-06,,,
5817,8211,54,2015-05-28,,,
5818,8211,364,2015-06-19,Mylavaram,Mylavaram,Velvadam
5819,8212,28,2015-01-07,,,
5820,8213,480,2015-05-30,,,
5821,8215,286,2015-06-13,Mylavaram,Reddygudem,Reddygudem
5822,8215,46,2015-06-19,Tiruvuru,Gampalagudem,VINAGADAPA
5823,8216,355,2015-05-27,Mylavaram,Mylavaram,k.r.gudem
5824,8216,418,2015-05-30,Tiruvuru,Tiruvuru,Erukopadu
5825,8216,288,2015-06-26,,,
5826,8217,317,2015-07-06,,,
5827,8224,414,2015-06-23,Tiruvuru,Tiruvuru,Vavilala
5828,8225,499,2015-06-20,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5829,8226,265,2015-01-06,,,
5830,8229,483,2015-12-06,,,
5831,8229,364,2015-10-07,,,
5832,8231,365,2015-06-07,Mylavaram,Mylavaram,Morsumalli
5833,8233,480,2015-06-13,Jaggaiahpeta,Penuganchiprolu,Gummadiduru
5834,8234,455,2015-06-24,Tiruvuru,Gampalagudem,GAMPALAGUDEM
5835,8235,78,2015-07-24,Mylavaram,Ibrahimpatnam,Kondapalli
5836,8237,309,2015-06-06,Jaggaiahpeta,Nadigama,Ramireddy palli
5837,8237,455,2015-06-24,Tiruvuru,Gampalagudem,GAMPALAGUDEM
5838,8237,213,2015-07-17,Nandigama,Kanchikacherla,Kanchikacherla
5839,8238,376,2015-06-07,Mylavaram,Mylavaram,Velvadam
5840,8239,247,2015-06-13,Jaggaiahpeta,Jaggaiahpeta,S M Peta
5841,8244,464,2015-08-06,,,
5842,8244,184,2015-05-07,,,
5843,8246,472,2015-05-29,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
5844,8249,444,2015-02-07,,,
5845,8250,315,2015-07-06,Nandigama,Chanderlapadu,Konayapalem
5846,8252,458,2015-06-18,Tiruvuru,Gampalagudem,GULLAPUDI
5847,8256,433,2015-06-27,,,
5848,8258,432,2015-05-31,Nandigama,Veerullapadu,Chatnavaram
5849,8258,285,2015-04-07,,,
5850,8259,467,2015-05-26,Tiruvuru,Gampalagudem,KANUMURU
5851,8259,449,2015-10-06,,,
5852,8260,382,2015-06-18,Tiruvuru,A.Konduru,Khampampadu
5853,8260,218,2015-06-15,Nandigama,Kanchikacherla,Gandepalli
5854,8261,124,2015-06-27,Jaggaiahpeta,Vatsavai,Polampalli
5855,8262,317,2015-05-24,,,
5856,8262,396,2015-06-23,Tiruvuru,A.Konduru,Cheemalapadu
5857,8262,295,2015-04-07,,,
5858,8263,405,2015-05-07,,,
5859,8267,101,2015-05-25,Mylavaram,Vijayawada (R),Rayanipadu
5860,8267,353,2015-08-07,,,
5861,8270,99,2015-07-06,,,
5862,8270,305,2015-06-19,Nandigama,Nandigama,Pallagiri
5863,8270,354,2015-06-30,Mylavaram,Mylavaram,mylavaram
5864,8274,144,2015-06-27,Nandigama,Veerullapadu,Jujjuru
5865,8275,474,2015-06-19,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5866,8279,417,2015-06-25,Tiruvuru,Tiruvuru,Kokilampadu
5867,8279,141,2015-06-23,,,
5868,8281,62,2015-05-23,Mylavaram,Ibrahimpatnam,Elaprolu
5869,8281,366,2015-08-06,,,
5870,8284,482,2015-06-28,Jaggaiahpeta,Penuganchiprolu,Nawabpeta
5871,8285,481,2015-02-06,,,
5872,8285,167,2015-06-06,Jaggaiahpeta,Jaggaiahpeta,Mutyala
5873,8285,320,2015-11-07,,,
5874,8286,340,2015-06-24,Tiruvuru,Tiruvuru,Kokilampadu
5875,8289,476,2015-06-20,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
5876,8292,369,2015-12-06,,,
5877,8292,102,2015-06-24,Mylavaram,Vijayawada (R),Kottur tadepalli
5878,8294,95,2015-07-07,Jaggaiahpeta,Vatsavai,Dabbagupalli
5879,8295,113,2015-10-06,,,
5880,8297,219,2015-06-29,Tiruvuru,Gampalagudem,GAMPALAGUDEM
5881,8297,167,2015-06-14,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
5882,8297,475,2015-04-07,,,
5883,8298,336,2015-05-24,Tiruvuru,Tiruvuru,Chittela
5884,8299,472,2015-07-15,,,
5885,8300,122,2015-12-06,,,
5886,8301,353,2015-06-26,Mylavaram,Mylavaram,Velvadam
5887,8306,22,2015-06-16,Nandigama,Veerullapadu,Dachavaram
5888,8307,426,2015-06-22,Nandigama,Veerullapadu,Konathalapalli
5889,8308,222,2015-07-13,Nandigama,Kanchikacherla,Kanchikacherla
5890,8309,157,2015-03-06,,,
5891,8311,481,2015-05-29,Jaggaiahpeta,Penuganchiprolu,Mundlapadu
5892,8313,352,2015-03-07,,,
5893,8318,160,2015-06-25,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
5894,8319,235,2015-06-24,Nandigama,Chanderlapadu,Thota Ravula Padu
5895,8320,400,2015-06-24,Tiruvuru,A.Konduru,Cheemalapadu
5896,8321,485,2015-06-25,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5897,8322,364,2015-05-21,Mylavaram,Mylavaram,Tholukodu
5898,8322,457,2015-05-29,Tiruvuru,Gampalagudem,PEDAKOMERA
5899,8322,485,2015-06-23,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5900,8322,323,2015-06-15,Tiruvuru,Tiruvuru,Vavilala
5901,8323,164,2015-05-29,Jaggaiahpeta,Jaggaiahpeta,Jayanthipuram
5902,8324,369,2015-11-06,,,
5903,8325,201,2015-12-06,,,
5904,8325,399,2015-06-26,Tiruvuru,A.Konduru,Khampampadu
5905,8328,44,2015-06-16,Tiruvuru,Gampalagudem,TUNIKIPADU
5906,8328,189,2015-05-26,Mylavaram,G. Konduru,Venkatapuram
5907,8329,263,2015-03-07,,,
5908,8333,68,2015-06-18,Mylavaram,Ibrahimpatnam,Mulapadu
5909,8338,130,2015-06-25,Jaggaiahpeta,Vatsavai,Polampalli
5910,8340,246,2015-07-06,Jaggaiahpeta,Jaggaiahpeta,Budavada
5911,8341,491,2015-05-06,,,
5912,8342,125,2015-02-06,,,
5913,8346,398,2015-08-06,,,
5914,8347,167,2015-06-16,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
5915,8348,232,2015-05-26,Nandigama,Chanderlapadu,Punnavalli
5916,8348,20,2015-04-06,,,
5917,8351,241,2015-12-06,,,
5918,8351,379,2015-06-24,Mylavaram,Mylavaram,Chandragudem
5919,8351,451,2015-06-14,Tiruvuru,Gampalagudem,GULLAPUDI
5920,8354,295,2015-06-27,Nandigama,Nandigama,Munagacherla
5921,8355,396,2015-06-19,Tiruvuru,A.Konduru,Cheemalapadu
5922,8358,407,2015-08-06,,,
5923,8358,121,2015-06-18,Jaggaiahpeta,Vatsavai,Kambhampadu
5924,8358,401,2015-06-22,Tiruvuru,A.Konduru,A. Konduru
5925,8359,360,2015-06-22,Mylavaram,Mylavaram,Velvadam
5926,8360,33,2015-06-19,Nandigama,Veerullapadu,Konathalapalli
5927,8364,281,2015-03-07,,,
5928,8365,279,2015-08-06,,,
5929,8369,479,2015-09-06,,,
5930,8370,281,2015-06-06,Mylavaram,Reddygudem,Reddygudem
5931,8372,246,2015-06-22,Jaggaiahpeta,Jaggaiahpeta,S M Peta
5932,8374,283,2015-05-26,Mylavaram,Reddygudem,Narukullapadu
5933,8376,112,2015-06-16,Jaggaiahpeta,Vatsavai,Pedamodugapalli
5934,8377,317,2015-06-27,Jaggaiahpeta,Nadigama,Gollamudi
5935,8379,450,2015-09-07,,,
5936,8381,464,2015-08-06,,,
5937,8383,339,2015-06-24,Tiruvuru,Tiruvuru,G.Kothuru
5938,8384,111,2015-10-07,,,
5939,8388,129,2015-05-27,Jaggaiahpeta,Vatsavai,Gangavelli
5940,8391,210,2015-07-16,Nandigama,Kanchikacherla,Kanchikacherla
5941,8394,210,2015-06-26,Nandigama,Kanchikacherla,Gottimukkala
5942,8394,164,2015-05-07,,,
5943,8395,302,2015-05-28,Jaggaiahpeta,Nadigama,Domaluru
5944,8395,262,2015-06-13,Mylavaram,Reddygudem,kudapa
5945,8396,443,2015-01-06,,,
5946,8396,216,2015-06-07,Nandigama,Chanderlapadu,Kandrapadu
5947,8397,72,2015-06-24,,,
5948,8397,398,2015-06-27,Tiruvuru,A.Konduru,A. Konduru
5949,8398,490,2015-06-14,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5950,8399,205,2015-06-19,Nandigama,Kanchikacherla,Keesara
5951,8401,284,2015-05-06,,,
5952,8401,309,2015-08-07,,,
5953,8402,275,2015-03-06,,,
5954,8405,30,2015-06-22,Tiruvuru,Vissannapeta,Narasapuram
5955,8406,441,2015-12-06,,,
5956,8407,450,2015-02-07,,,
5957,8407,216,2015-05-07,,,
5958,8407,48,2015-07-07,Tiruvuru,Gampalagudem,VUTUKURU
5959,8412,111,2015-07-14,Jaggaiahpeta,Vatsavai,Makkapeta
5960,8413,10,2015-11-07,,,
5961,8415,179,2015-12-06,,,
5962,8416,454,2015-02-06,,,
5963,8417,52,2015-05-28,Mylavaram,Ibrahimpatnam,Kethanakonda
5964,8418,300,2015-06-19,Nandigama,Nandigama,Lingalapadu
5965,8421,376,2015-06-22,Mylavaram,Mylavaram,Velvadam
5966,8422,422,2015-07-07,Tiruvuru,Vissannapeta,Vissannapeta
5967,8424,446,2015-06-26,Tiruvuru,Gampalagudem,DUNDIRLAPADU
5968,8425,446,2015-07-07,Tiruvuru,Gampalagudem,VUTUKURU
5969,8427,72,2015-01-06,,,
5970,8427,427,2015-06-26,Tiruvuru,Vissannapeta,Tatakuntla
5971,8429,8,2015-01-06,,,
5972,8431,405,2015-03-06,,,
5973,8431,240,2015-06-28,Nandigama,Chanderlapadu,Kodavatikallu
5974,8432,137,2015-07-18,Jaggaiahpeta,Vatsavai,Vatsavai
5975,8433,350,2015-10-06,,,
5976,8433,254,2015-07-23,Nandigama,Chanderlapadu,Chanderlapadu
5977,8437,252,2015-06-15,Jaggaiahpeta,Jaggaiahpeta,Gandrai
5978,8437,326,2015-06-14,Tiruvuru,Tiruvuru,Kakarla
5979,8438,475,2015-07-14,,,
5980,8439,425,2015-12-06,,,
5981,8439,471,2015-04-07,,,
5982,8442,281,2015-07-07,,,
5983,8444,241,2015-06-14,Jaggaiahpeta,Jaggaiahpeta,Gandrai
5984,8445,260,2015-01-07,,,
5985,8447,403,2015-06-27,Tiruvuru,A.Konduru,Ramachandrapuram
5986,8449,271,2015-06-25,Mylavaram,Reddygudem,Reddygudem
5987,8450,481,2015-05-07,,,
5988,8451,211,2015-05-29,Nandigama,Kanchikacherla,Kothapeta
5989,8451,498,2015-06-21,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
5990,8451,500,2015-06-19,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
5991,8453,464,2015-05-24,Tiruvuru,Gampalagudem,KANUMURU
5992,8453,301,2015-06-21,Nandigama,Nandigama,Lingalapadu
5993,8454,195,2015-02-06,,,
5994,8459,385,2015-10-06,,,
5995,8459,350,2015-12-06,,,
5996,8460,236,2015-11-07,,,
5997,8461,177,2015-06-06,Mylavaram,G. Konduru,Kattubadipalem
5998,8462,24,2015-11-06,,,
5999,8462,451,2015-01-07,,,
6000,8462,89,2015-10-07,,,
6001,8463,381,2015-05-26,Tiruvuru,A.Konduru,Repudi thanda
6002,8466,387,2015-05-27,Tiruvuru,A.Konduru,Vallampatla
6003,8466,253,2015-06-26,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
6004,8468,210,2015-06-13,Nandigama,Kanchikacherla,Vemulapalli
6005,8470,305,2015-06-25,Nandigama,Nandigama,Peddavaram
6006,8470,53,2015-07-17,Mylavaram,Ibrahimpatnam,Kondapalli
6007,8471,265,2015-03-06,,,
6008,8471,5,2015-02-07,,,
6009,8471,216,2015-07-20,Nandigama,Chanderlapadu,Chanderlapadu
6010,8472,445,2015-06-22,Tiruvuru,Gampalagudem,TUNIKIPADU
6011,8473,389,2015-06-14,Tiruvuru,A.Konduru,Cheemalapadu
6012,8477,253,2015-06-23,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
6013,8477,433,2015-09-07,,,
6014,8478,465,2015-10-06,,,
6015,8482,320,2015-06-16,Nandigama,Nandigama,Pallagiri
6016,8485,184,2015-07-16,Mylavaram,Ibrahimpatnam,Kondapalli
6017,8489,300,2015-05-26,Nandigama,Nandigama,Kethaveerunipadu
6018,8489,113,2015-06-13,Jaggaiahpeta,Vatsavai,Kambhampadu
6019,8490,115,2015-07-15,Jaggaiahpeta,Vatsavai,Makkapeta
6020,8492,428,2015-03-07,,,
6021,8492,232,2015-06-07,Nandigama,Chanderlapadu,Kasarabada
6022,8493,10,2015-10-07,,,
6023,8494,102,2015-06-06,Mylavaram,Vijayawada (R),Jakkampudi
6024,8494,358,2015-06-29,Mylavaram,Mylavaram,pullur
6025,8495,22,2015-06-07,Nandigama,Veerullapadu,Dachavaram
6026,8497,130,2015-03-07,,,
6027,8498,39,2015-06-26,Tiruvuru,A.Konduru,Cheemalapadu
6028,8504,350,2015-11-06,,,
6029,8505,407,2015-06-23,Tiruvuru,A.Konduru,Ramachandrapuram
6030,8508,215,2015-07-07,Nandigama,Kanchikacherla,Kanchikacherla
6031,8509,345,2015-05-25,,,
6032,8510,443,2015-12-06,,,
6033,8516,314,2015-06-17,Nandigama,Nandigama,Pallagiri
6034,8516,265,2015-05-07,,,
6035,8517,483,2015-02-06,,,
6036,8519,415,2015-06-28,Tiruvuru,Tiruvuru,Kommireddipalli
6037,8521,489,2015-05-31,Jaggaiahpeta,Penuganchiprolu,Kollikulla
6038,8522,193,2015-06-13,Mylavaram,G. Konduru,Chevuturu
6039,8524,129,2015-05-27,Jaggaiahpeta,Vatsavai,Gangavelli
6040,8526,283,2015-11-06,,,
6041,8527,395,2015-05-23,Tiruvuru,A.Konduru,Jeellakunta
6042,8532,111,2015-01-06,,,
6043,8533,209,2015-04-06,,,
6044,8535,33,2015-05-25,Nandigama,Veerullapadu,Jammavaram
6045,8535,449,2015-06-13,Tiruvuru,Gampalagudem,NEMALI
6046,8536,141,2015-08-07,,,
6047,8537,250,2015-02-06,,,
6048,8540,265,2015-06-06,Mylavaram,Reddygudem,K-Naguluru
6049,8541,423,2015-02-07,,,
6050,8543,136,2015-03-06,,,
6051,8544,373,2015-05-23,Mylavaram,Mylavaram,Ganapavaram
6052,8544,400,2015-03-06,,,
6053,8545,349,2015-06-23,Tiruvuru,Tiruvuru,Kokilampadu
6054,8547,482,2015-06-22,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
6055,8549,14,2015-05-23,Tiruvuru,Vissannapeta,Maremanda
6056,8549,53,2015-09-07,,,
6057,8550,236,2015-06-21,Nandigama,Chanderlapadu,Thota Ravula Padu
6058,8551,147,2015-06-17,Jaggaiahpeta,Jaggaiahpeta,Anumanchipalli
6059,8551,242,2015-07-17,Mylavaram,Ibrahimpatnam,Kondapalli
6060,8553,345,2015-04-06,,,
6061,8554,487,2015-04-06,,,
6062,8554,439,2015-12-06,,,
6063,8556,176,2015-10-06,,,
6064,8557,289,2015-08-06,,,
6065,8560,362,2015-05-26,Mylavaram,Mylavaram,Ganapavaram
6066,8564,18,2015-07-06,Tiruvuru,Vissannapeta,Vissannapeta
6067,8564,252,2015-06-17,Jaggaiahpeta,Jaggaiahpeta,Gandrai
6068,8565,375,2015-06-22,Mylavaram,Mylavaram,Chandragudem
6069,8569,94,2015-06-23,Mylavaram,Vijayawada (R),Kottur tadepalli
6070,8569,351,2015-06-25,Mylavaram,Mylavaram,Velvadam
6071,8569,133,2015-06-30,Jaggaiahpeta,Vatsavai,Polampalli
6072,8570,466,2015-05-31,Tiruvuru,Gampalagudem,SATYALAPADU
6073,8570,467,2015-06-23,Tiruvuru,Gampalagudem,SOBBALA
6074,8570,32,2015-08-06,,,
6075,8570,456,2015-01-07,,,
6076,8571,414,2015-05-24,Tiruvuru,Tiruvuru,Vamakuntla
6077,8571,429,2015-06-25,Nandigama,Chanderlapadu,Kodavatikallu
6078,8572,283,2015-06-19,Mylavaram,Reddygudem,Reddygudem
6079,8573,463,2015-05-27,Tiruvuru,Gampalagudem,ANUMULLANKA
6080,8575,452,2015-06-15,Tiruvuru,Gampalagudem,VINAGADAPA
6081,8575,255,2015-06-15,Jaggaiahpeta,Jaggaiahpeta,K.Agraharam
6082,8575,460,2015-03-07,,,
6083,8576,365,2015-05-29,Mylavaram,Mylavaram,Morsumalli
6084,8583,134,2015-06-27,Jaggaiahpeta,Vatsavai,Dabbagupalli
6085,8584,272,2015-07-06,,,
6086,8584,215,2015-07-16,Nandigama,Kanchikacherla,Kanchikacherla
6087,8588,309,2015-06-15,Jaggaiahpeta,Nadigama,Jonnalagadda
6088,8589,77,2015-05-29,Mylavaram,Ibrahimpatnam,Damuluru
6089,8589,140,2015-06-21,Jaggaiahpeta,Vatsavai,Kanneveedu
6090,8591,297,2015-12-07,,,
6091,8592,164,2015-06-18,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
6092,8592,423,2015-06-23,Tiruvuru,Vissannapeta,Korlamanda
6093,8595,172,2015-06-24,Mylavaram,G. Konduru,Kavuluru
6094,8596,246,2015-05-28,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
6095,8600,123,2015-06-24,Nandigama,Veerullapadu,Konathalapalli
6096,8602,133,2015-07-18,Jaggaiahpeta,Vatsavai,Vatsavai
6097,8603,493,2015-05-26,Jaggaiahpeta,Penuganchiprolu,Subbayamgudam
6098,8604,489,2015-06-17,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
6099,8609,251,2015-06-26,Nandigama,Chanderlapadu,Bobbillapadu
6100,8609,50,2015-02-06,,,
6101,8610,354,2015-06-19,Mylavaram,Mylavaram,Chandragudem
6102,8612,12,2015-08-06,,,
6103,8613,457,2015-01-07,,,
6104,8616,376,2015-11-06,,,
6105,8617,437,2015-05-07,,,
6106,8617,115,2015-11-07,,,
6107,8619,286,2015-06-17,Mylavaram,Reddygudem,Reddygudem
6108,8622,434,2015-05-30,Tiruvuru,Vissannapeta,Kondaparava
6109,8624,277,2015-06-13,Mylavaram,Reddygudem,kudapa
6110,8625,48,2015-06-30,Tiruvuru,Gampalagudem,DUNDIRLAPADU
6111,8626,218,2015-05-23,Nandigama,Kanchikacherla,Kunikinapadu
6112,8626,400,2015-06-23,Tiruvuru,A.Konduru,Cheemalapadu
6113,8628,359,2015-06-30,Mylavaram,Mylavaram,mylavaram
6114,8628,275,2015-08-07,,,
6115,8628,447,2015-09-07,,,
6116,8630,111,2015-08-07,,,
6117,8633,157,2015-05-27,Jaggaiahpeta,Jaggaiahpeta,Vedadri
6118,8633,434,2015-05-31,,,
6119,8633,155,2015-04-07,,,
6120,8635,418,2015-06-25,Tiruvuru,Tiruvuru,Ganugapadu
6121,8637,353,2015-05-23,Mylavaram,Mylavaram,Tholukodu
6122,8637,269,2015-06-29,,,
6123,8638,242,2015-06-21,Jaggaiahpeta,Jaggaiahpeta,Gandrai
6124,8639,368,2015-05-23,Mylavaram,Mylavaram,Tholukodu
6125,8641,127,2015-05-23,Jaggaiahpeta,Vatsavai,Dechupalem
6126,8641,215,2015-10-06,,,
6127,8642,250,2015-12-06,,,
6128,8642,358,2015-07-07,Mylavaram,Mylavaram,mylavaram
6129,8645,143,2015-06-14,Nandigama,Chanderlapadu,Eturu
6130,8650,215,2015-12-06,,,
6131,8651,1,2015-02-07,,,
6132,8652,287,2015-06-19,Mylavaram,Reddygudem,Reddygudem
6133,8652,111,2015-06-27,Jaggaiahpeta,Vatsavai,Lingala
6134,8654,266,2015-05-30,Mylavaram,Reddygudem,Kunaparajparva
6135,8657,452,2015-06-23,Tiruvuru,Gampalagudem,GAMPALAGUDEM
6136,8658,233,2015-09-06,,,
6137,8660,19,2015-05-25,Jaggaiahpeta,Vatsavai,Dechupalem
6138,8660,143,2015-06-19,Nandigama,Chanderlapadu,Eturu
6139,8661,211,2015-05-22,Nandigama,Kanchikacherla,Perakalapadu
6140,8661,437,2015-03-06,,,
6141,8661,333,2015-07-07,Tiruvuru,Tiruvuru,Choutapalli
6142,8663,172,2015-06-06,Mylavaram,G. Konduru,Kattubadipalem
6143,8666,226,2015-07-19,Nandigama,Kanchikacherla,Kanchikacherla
6144,8672,364,2015-02-06,,,
6145,8673,297,2015-06-06,Nandigama,Nandigama,Aithavaram
6146,8675,220,2015-07-07,Nandigama,Kanchikacherla,Kanchikacherla
6147,8676,300,2015-06-17,Nandigama,Nandigama,Lingalapadu
6148,8676,142,2015-06-24,Tiruvuru,A.Konduru,Khampampadu
6149,8676,278,2015-04-07,,,
6150,8678,242,2015-05-25,Jaggaiahpeta,Jaggaiahpeta,Malkapuram
6151,8679,420,2015-02-06,,,
6152,8682,441,2015-05-29,Tiruvuru,Gampalagudem,KANUMURU
6153,8682,433,2015-06-15,,,
6154,8683,275,2015-05-27,Mylavaram,Mylavaram,Pondugala
6155,8684,458,2015-06-24,Tiruvuru,Gampalagudem,SOBBALA
6156,8685,395,2015-11-06,,,
6157,8686,145,2015-06-24,Nandigama,Chanderlapadu,Thota Ravula Padu
6158,8686,184,2015-11-07,,,
6159,8688,92,2015-08-06,,,
6160,8688,458,2015-02-07,,,
6161,8691,485,2015-05-29,Jaggaiahpeta,Penuganchiprolu,Venganaikunipalem
6162,8694,465,2015-06-25,Tiruvuru,Gampalagudem,TUNIKIPADU
6163,8695,481,2015-06-13,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
6164,8699,352,2015-06-17,Mylavaram,Mylavaram,pullur
6165,8701,418,2015-01-06,,,
6166,8701,483,2015-06-23,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
6167,8702,424,2015-01-06,,,
6168,8702,467,2015-06-15,Tiruvuru,Gampalagudem,GULLAPUDI
6169,8705,355,2015-08-06,,,
6170,8706,497,2015-06-13,Jaggaiahpeta,Penuganchiprolu,Gummadiduru
6171,8708,39,2015-07-18,Nandigama,Veerullapadu,Peddapuram
6172,8709,406,2015-05-25,Tiruvuru,A.Konduru,Vallampatla
6173,8710,82,2015-05-23,Mylavaram,Ibrahimpatnam,Kethanakonda
6174,8711,398,2015-07-06,Tiruvuru,A.Konduru,A. Konduru
6175,8715,172,2015-05-29,Mylavaram,G. Konduru,Sunnampadu
6176,8716,424,2015-10-06,,,
6177,8716,8,2015-07-17,Tiruvuru,Vissannapeta,Vissannapeta
6178,8718,334,2015-06-13,Tiruvuru,Tiruvuru,Munukulla
6179,8721,289,2015-02-06,,,
6180,8723,247,2015-03-06,,,
6181,8727,486,2015-06-06,Jaggaiahpeta,Penuganchiprolu,Sivapuram
6182,8729,495,2015-06-06,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
6183,8729,175,2015-12-06,,,
6184,8730,97,2015-10-06,,,
6185,8730,290,2015-06-16,Mylavaram,Reddygudem,kudapa
